age,sample,meter,d18O,T_le,T_pu,type,min,period,stage,conzone,chizone,country,state,lat,long,source
420,CZ 462,,17.64,32.62,35.3952,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
420.04,CZ 461,,17.18,34.69,37.3364,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
420.16,,,18,31,33.876,Conodont,apatite,Silurian,Pridoli,,,Lithuania,Geluva,55,23.84,zigait_2010; Grossman_2022
420.27,CZ 459,,17.44,33.52,36.2392,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
420.44,CZ 457,,17.14,34.87,37.5052,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
420.52,CZ 456,,17.43,33.565,36.2814,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
420.53,CZ 455,,16.79,36.445,38.9822,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
420.65,CZ 453,,16.83,36.265,38.8134,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
420.74,,,17.7,32.35,35.142,Conodont,apatite,Silurian,Pridoli,,,Lithuania,Geluva,55,23.84,zigait_2010; Grossman_2022
420.75,Kolka-54164.0-164.3,,18,31,33.876,Conodont,apatite,Silurian,Pridoli,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
420.9,CZ 451,,16.99,35.545,38.1382,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
420.95,Kolka-54172.7-173.0,,17.9,31.45,34.298,Conodont,apatite,Silurian,Pridoli,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
421.02,CZ 450,,16.63,37.165,39.6574,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
421.04,Kolka-54180.2-181.0,,18.2,30.1,33.032,Conodont,apatite,Silurian,Pridoli,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
421.07,,,18.6,28.3,31.344,Conodont,apatite,Silurian,Pridoli,,,Lithuania,Geluva,55,23.84,zigait_2010; Grossman_2022
421.11,,,19.2,25.6,28.812,Conodont,apatite,Silurian,Pridoli,,,Lithuania,Geluva,55,23.84,zigait_2010; Grossman_2022
421.14,CZ 449,,17.05,35.275,37.885,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
421.24,Kolka-54191.0-191.3,,18.2,30.1,33.032,Conodont,apatite,Silurian,Pridoli,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
421.25,CZ 448,,17.17,34.735,37.3786,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
421.28,,,18.7,27.85,30.922,Conodont,apatite,Silurian,Pridoli,,,Lithuania,Geluva,55,23.84,Zigaite_2010; Grossman_2022
421.37,CZ 447,,17.11,35.005,37.6318,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
421.43,Kolka-54197.7-198.0,,18.5,28.75,31.766,Conodont,apatite,Silurian,Pridoli,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
421.47,CZ 446,,17.23,34.465,37.1254,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
421.5,,,18.1,30.55,33.454,Conodont,apatite,Silurian,Pridoli,,,Lithuania,Geluva,55,23.84,zigait_2010; Grossman_2022
421.53,Ohesaare3.15-9.0,,19,26.5,29.656,Conodont,apatite,Silurian,Pridoli,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
421.56,CZ 445,,18.91,26.905,30.0358,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
421.68,CZ 444,,17.17,34.735,37.3786,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
421.69,,,17.7,32.35,35.142,Conodont,apatite,Silurian,Pridoli,,,Lithuania,Geluva,55,23.84,Zigaite_2010; Grossman_2022
421.78,CZ 443,,17.46,33.43,36.1548,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
421.92,Ohesaare20.10-20.35,,18.9,26.95,30.078,Conodont,apatite,Silurian,Pridoli,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
422,CZ 441,,17.69,32.395,35.1842,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.11,CZ 440,,17.27,34.285,36.9566,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.12,Kolka-54227.5,,18.2,30.1,33.032,Conodont,apatite,Silurian,Pridoli,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
422.36,CZ 437,,18.07,30.685,33.5806,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.48,CZ 435,,18.14,30.37,33.2852,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.51,Kolka-54253.6-253.8,,18.5,28.75,31.766,Conodont,apatite,Silurian,Pridoli,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
422.51,Ohesaare52.0-52.25,,18.1,30.55,33.454,Conodont,apatite,Silurian,Pridoli,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
422.57,CZ 434,,17.69,32.395,35.1842,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.6,GBR-3.15A,,18.6,28.3,31.344,Conodont,apatite,Silurian,Pridoli,,,UK,Welsh Borderlands,52.8,-3.2,Trotter_2016; Grossman_2022
422.63,CZ 432,,17.77,32.035,34.8466,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.66,CZ 431,,18.03,30.865,33.7494,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.67,CZ 430,,18.21,30.055,32.9898,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.68,CZ 429,,19.11,26.005,29.1918,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.7,,,18.2,30.1,33.032,Conodont,apatite,Silurian,Pridoli,,,Lithuania,Geluva,55,23.84,zigait_2010; Grossman_2022
422.71,CZ 426,,16.12,39.46,41.8096,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.73,CZ 425,,17.12,34.96,37.5896,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.74,CZ 424,,17.58,32.89,35.6484,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.82,CZ 422,,17.94,31.27,34.1292,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
422.88,Ohesaare76.7-76.9,,18.7,27.85,30.922,Conodont,apatite,Silurian,Ludfordian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
422.9,CZ 420,,18.29,29.695,32.6522,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.01,CZ 418,,18.27,29.785,32.7366,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.1,CZ 416,,17.79,31.945,34.7622,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.12,CZ 415,,18.49,28.795,31.8082,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.16,CZ 414,,18.61,28.255,31.3018,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.19,CZ 413,,18.63,28.165,31.2174,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.23,Ohesaare90.75-91.0,,18.8,27.4,30.5,Conodont,apatite,Silurian,Ludfordian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
423.23,CZ 412,,18.76,27.58,30.6688,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.33,CZ 411,,18.1,30.55,33.454,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.38,CZ 410,,18.59,28.345,31.3862,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.41,Ohesaare95.95-96.20,,18.2,30.1,33.032,Conodont,apatite,Silurian,Ludfordian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
423.42,CZ 409,,17.88,31.54,34.3824,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.47,CZ 408,,17.3,34.15,36.83,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.52,CZ 407,,17.95,31.225,34.087,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.56,CZ 406,,17.86,31.63,34.4668,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.6,CZ 405,,17.11,35.005,37.6318,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.67,Ohesaare100.8-101.05,,18.6,28.3,31.344,Conodont,apatite,Silurian,Ludfordian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
